probe_time,target_date,status,configured_brokers,successful_queries,failed_queries,brokers_with_data,raw_rows,unique_warrants,buy_volume,sell_volume,net_volume,buy_amount,sell_amount,net_amount,snapshot_hash,stable_count,stable_required,history_days,history_reference_days,history_min_days,coverage_threshold,coverage_enforced,baseline_raw_rows,baseline_unique_warrants,baseline_brokers_with_data,raw_rows_coverage,unique_warrants_coverage,brokers_with_data_coverage,overall_coverage,coverage_pass,is_complete,first_data_time,last_changed_time,complete_time,error_summary
2026-07-15T16:19:53+08:00,2026-07-14,DATA_CHANGING,38,38,0,38,6009,3039,125000000,102113000,22887000,138687640.0,132970800.0,5716840.0,0521d9d6251397bee15f3e53ae5de86d8090938d8f3547a8b5a1662a868b1248,1,4,,,,,,,,,,,,,,False,2026-07-15T16:19:53+08:00,2026-07-15T16:19:53+08:00,,
2026-07-15T16:29:52+08:00,2026-07-14,STABLE_WAITING,38,38,0,38,6009,3039,125000000,102113000,22887000,138687640.0,132970800.0,5716840.0,0521d9d6251397bee15f3e53ae5de86d8090938d8f3547a8b5a1662a868b1248,2,4,,,,,,,,,,,,,,False,2026-07-15T16:19:53+08:00,2026-07-15T16:19:53+08:00,,
2026-07-15T16:39:52+08:00,2026-07-14,STABLE_WAITING,38,38,0,38,6009,3039,125000000,102113000,22887000,138687640.0,132970800.0,5716840.0,0521d9d6251397bee15f3e53ae5de86d8090938d8f3547a8b5a1662a868b1248,3,4,,,,,,,,,,,,,,False,2026-07-15T16:19:53+08:00,2026-07-15T16:19:53+08:00,,
2026-07-15T17:04:01+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T17:14:00+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T17:24:00+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T17:34:00+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T17:44:00+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T17:54:01+08:00,2026-07-15,NO_DATA,38,38,0,0,0,0,0,0,0,0.0,0.0,0.0,,0,4,,,,,,,,,,,,,,False,,,,
2026-07-15T18:04:00+08:00,2026-07-15,DATA_CHANGING,38,38,0,32,239,140,2948000,2233000,715000,4135020.0,1500670.0,2634350.0,eccc30dccad6cd875e0cfa2d0e1c38ba9790a61e55a57f4a41aeb4f3d85fff10,1,4,,,,,,,,,,,,,,False,2026-07-15T18:04:00+08:00,2026-07-15T18:04:00+08:00,,
